# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.3	126	  6	0	172	76	37	165	9644	133.3186	60381.268093351	339.245	44.93727	-55.22313
6.8	163	114	3	42	48	39	180	10026	138.5994	60381.268154471	214.260	44.66010	-54.75985
6.2	137	166	0	52	70	39	164	10036	138.7377	60381.268156071	312.463	44.85410	-54.53666
6.0	 75	 28	0	111	16	41	159	10607	146.6312	60381.268247431	71.420	45.32030	-55.12811
6.2	154	245	3	26	107	41	163	10522	145.4561	60381.268233831	477.621	44.73115	-54.19604
6.0	168	211	2	13	63	42	159	10765	148.8154	60381.268272711	281.216	44.62665	-54.34240
6.1	137	250	0	250	129	42	160	11002	152.0916	60381.268310631	575.824	44.85611	-54.17464
6.0	151	235	6	165	70	43	159	11173	154.4556	60381.268337991	312.463	44.75276	-54.23924
6.1	151	235	6	166	71	43	160	11174	154.4694	60381.268338151	316.926	44.75276	-54.23924
6.3	151	235	6	166	72	43	165	11174	154.4694	60381.268338151	321.390	44.75276	-54.23924
6.2	151	235	7	168	74	43	163	11176	154.4970	60381.268338471	330.318	44.75276	-54.23924
6.1	211	145	0	255	118	43	160	11263	155.6997	60381.268352391	526.723	44.30531	-54.62490
6.5	180	 61	0	72	127	43	171	11080	153.1699	60381.268323111	566.896	44.53194	-54.98679
6.0	106	226	0	40	17	44	159	11304	156.2665	60381.268358951	75.884	45.08358	-54.27807
6.3	170	 46	6	129	114	44	166	11393	157.4968	60381.268373191	508.868	44.60646	-55.05135
6.0	170	 46	6	130	115	44	158	11394	157.5107	60381.268373351	513.331	44.60646	-55.05135
6.2	170	 46	6	131	116	44	163	11395	157.5245	60381.268373511	517.795	44.60646	-55.05135
6.2	170	 46	6	131	117	44	163	11395	157.5245	60381.268373511	522.259	44.60646	-55.05135
6.0	187	  9	2	191	138	45	158	11711	161.8929	60381.268424071	615.998	44.47818	-55.20922
6.0	187	  9	3	192	140	45	158	11712	161.9067	60381.268424231	624.925	44.47818	-55.20922
6.0	203	 50	1	40	52	46	159	11816	163.3444	60381.268440871	232.115	44.35952	-55.03303
6.3	203	 51	2	40	53	46	165	11816	163.3444	60381.268440871	236.579	44.35956	-55.02874
6.0	 94	 53	0	106	66	48	158	12394	171.3347	60381.268533351	294.608	45.17616	-55.02155
6.0	101	162	1	215	156	48	158	12503	172.8415	60381.268550791	696.345	45.12084	-54.55367
6.7	  6	 77	0	208	67	50	176	13008	179.8226	60381.268631591	299.071	45.83451	-54.91441
6.3	  7	 77	0	208	67	50	165	13008	179.8226	60381.268631591	299.071	45.82700	-54.91448
6.0	165	255	2	253	92	50	158	13053	180.4447	60381.268638791	410.665	44.65096	-54.15267
6.1	 12	174	1	158	155	50	161	12958	179.1314	60381.268623591	691.881	45.78057	-54.49812
6.1	 43	129	3	159	161	50	160	12959	179.1452	60381.268623751	718.664	45.55332	-54.69356
6.0	 58	 31	1	149	43	51	158	13205	182.5459	60381.268663111	191.941	45.44803	-55.11461
6.2	119	119	1	239	161	52	164	13551	187.3290	60381.268718471	718.664	44.98759	-54.73872
6.0	219	163	5	241	50	54	158	14065	194.4346	60381.268800711	223.188	44.24746	-54.54706
6.2	218	163	3	240	53	54	162	14064	194.4207	60381.268800551	236.579	44.25484	-54.54712
6.2	218	163	4	241	54	54	163	14065	194.4346	60381.268800711	241.043	44.25484	-54.54712
6.0	218	163	4	242	55	54	159	14066	194.4484	60381.268800871	245.506	44.25484	-54.54712
6.1	 28	203	0	66	55	55	161	14146	195.5543	60381.268813671	245.506	45.65995	-54.37429
6.0	163	 63	1	42	11	56	158	14378	198.7615	60381.268850791	49.101	44.65911	-54.97867
6.2	163	 64	1	42	11	56	163	14378	198.7615	60381.268850791	49.101	44.65913	-54.97438
6.1	 94	126	4	183	103	56	160	14519	200.7107	60381.268873351	459.766	45.17359	-54.70832
6.0	 19	173	2	215	0	57	159	14807	204.6920	60381.268919431	0.000	45.72869	-54.50291
6.0	  9	140	0	238	67	57	159	14830	205.0099	60381.268923111	299.071	45.80581	-54.64415
6.2	139	 40	3	222	72	58	163	15070	208.3277	60381.268961511	321.390	44.83886	-55.07756
6.0	154	116	6	74	77	58	159	14922	206.2817	60381.268937831	343.709	44.72710	-54.75143
6.0	154	116	6	77	82	58	158	14925	206.3232	60381.268938311	366.028	44.72710	-54.75143
6.2	185	158	3	184	84	59	162	15288	211.3413	60381.268996391	374.955	44.49853	-54.57011
6.0	115	142	0	184	100	59	159	15288	211.3413	60381.268996391	446.375	45.01715	-54.63986
6.3	249	167	5	208	142	59	165	15312	211.6731	60381.269000231	633.853	44.02631	-54.52791
6.1	186	162	3	196	8	60	161	15556	215.0461	60381.269039271	35.710	44.49134	-54.55287
6.0	186	162	3	198	10	60	158	15558	215.0738	60381.269039591	44.638	44.49134	-54.55287
6.1	186	162	3	199	11	60	161	15559	215.0876	60381.269039751	49.101	44.49134	-54.55287
6.1	136	 26	2	169	17	60	160	15529	214.6729	60381.269034951	75.884	44.86156	-55.13752
6.3	 44	247	3	154	18	60	165	15514	214.4655	60381.269032551	80.348	45.53964	-54.18544
6.0	134	153	3	64	29	60	158	15424	213.2214	60381.269018151	129.449	44.87616	-54.59260
6.2	249	103	1	174	65	60	163	15534	214.7420	60381.269035751	290.144	44.02013	-54.80296
6.2	 45	143	6	116	83	60	162	15476	213.9402	60381.269026471	370.491	45.53752	-54.63349
6.4	 45	143	6	117	84	60	169	15477	213.9541	60381.269026631	374.955	45.53752	-54.63349
6.0	 45	143	6	117	85	60	159	15477	213.9541	60381.269026631	379.419	45.53752	-54.63349
6.2	 45	143	6	118	86	60	164	15478	213.9679	60381.269026791	383.883	45.53752	-54.63349
6.0	 44	143	6	119	87	60	159	15479	213.9817	60381.269026951	388.346	45.54496	-54.63344
6.3	 45	143	6	119	87	60	167	15479	213.9817	60381.269026951	388.346	45.53752	-54.63349
6.1	 45	143	7	121	90	60	161	15481	214.0093	60381.269027271	401.738	45.53752	-54.63349
6.1	170	102	1	134	119	60	161	15494	214.1891	60381.269029351	531.186	44.60768	-54.81121
6.0	131	187	2	120	12	61	158	15736	217.5345	60381.269068071	53.565	44.89879	-54.44629
6.2	131	187	3	121	14	61	162	15737	217.5483	60381.269068231	62.493	44.89879	-54.44629
6.0	194	 17	5	82	46	61	158	15698	217.0092	60381.269061991	205.333	44.42576	-55.17472
6.0	194	 17	5	83	47	61	158	15699	217.0230	60381.269062151	209.796	44.42576	-55.17472
6.1	172	 52	0	134	73	61	161	15750	217.7280	60381.269070311	325.854	44.59158	-55.02559
6.0	 92	195	5	39	144	61	159	15655	216.4147	60381.269055111	642.780	45.18700	-54.41143
6.5	 91	194	3	38	146	61	171	15654	216.4009	60381.269054951	651.708	45.19441	-54.41572
6.3	 92	195	3	38	146	61	167	15654	216.4009	60381.269054951	651.708	45.18700	-54.41143
6.0	 92	195	5	40	146	61	159	15656	216.4285	60381.269055271	651.708	45.18700	-54.41143
6.0	 91	195	5	40	147	61	158	15656	216.4285	60381.269055271	656.172	45.19440	-54.41141
6.3	 92	195	5	40	147	61	166	15656	216.4285	60381.269055271	656.172	45.18700	-54.41143
6.1	 92	195	6	41	148	61	160	15657	216.4424	60381.269055431	660.635	45.18700	-54.41143
6.3	 92	195	5	41	149	61	165	15657	216.4424	60381.269055431	665.099	45.18700	-54.41143
6.2	 92	195	5	42	150	61	164	15658	216.4562	60381.269055591	669.563	45.18700	-54.41143
6.1	 92	195	5	43	151	61	160	15659	216.4700	60381.269055751	674.026	45.18700	-54.41143
6.2	139	 57	3	48	155	61	163	15664	216.5391	60381.269056551	691.881	44.83872	-55.00473
6.1	 40	 43	3	125	80	62	161	15997	221.1425	60381.269109831	357.100	45.58247	-55.06234
6.1	250	 64	3	243	124	62	160	16115	222.7738	60381.269128711	553.505	44.00929	-54.97018
6.2	141	114	6	0	146	62	162	15872	219.4145	60381.269089831	651.708	44.82382	-54.76017
6.3	173	241	0	153	146	62	167	16025	221.5296	60381.269114311	651.708	44.59148	-54.21289
6.0	241	 29	1	66	4	63	158	16194	223.8659	60381.269141351	17.855	44.07387	-55.12077
6.2	173	 99	0	176	112	63	162	16304	225.3865	60381.269158951	499.940	44.58525	-54.82401
6.3	174	 99	0	176	112	63	167	16304	225.3865	60381.269158951	499.940	44.57780	-54.82397
6.1	119	144	0	193	153	63	161	16321	225.6215	60381.269161671	682.954	44.98744	-54.63129
6.0	120	144	0	193	153	63	158	16321	225.6215	60381.269161671	682.954	44.98001	-54.63129
6.1	  5	 57	0	51	83	64	160	16435	227.1974	60381.269179911	370.491	45.84422	-55.00006
6.1	  1	 32	1	74	105	64	160	16458	227.5154	60381.269183591	468.694	45.87728	-55.10683
6.2	218	230	1	164	156	64	162	16548	228.7596	60381.269197991	696.345	44.26047	-54.25850
6.0	230	 21	1	172	2	65	158	16812	232.4091	60381.269240231	8.928	44.15578	-55.15574
6.2	163	  3	0	81	23	65	162	16721	231.1511	60381.269225671	102.666	44.65863	-55.23558
6.1	184	247	3	224	139	65	160	16864	233.1279	60381.269248551	620.461	44.51117	-54.18666
6.2	203	251	1	160	18	66	162	17056	235.7822	60381.269279271	80.348	44.37225	-54.16864
6.0	203	251	1	160	19	66	158	17056	235.7822	60381.269279271	84.811	44.37225	-54.16864
6.1	138	 20	1	255	68	66	161	17151	237.0954	60381.269294471	303.535	44.84662	-55.16319
6.0	110	228	1	45	142	66	158	16941	234.1924	60381.269260871	633.853	45.05412	-54.26949
6.2	  3	137	1	189	22	67	162	17341	239.7220	60381.269324871	98.203	45.85078	-54.65659
6.0	165	 97	0	42	28	67	158	17194	237.6898	60381.269301351	124.985	44.64481	-54.83279
6.3	 46	125	3	2	140	67	166	17154	237.1369	60381.269294951	624.925	45.53122	-54.71090
6.0	 55	121	3	134	45	68	159	17542	242.5006	60381.269357031	200.869	45.46437	-54.72852
6.3	 56	121	3	134	45	68	166	17542	242.5006	60381.269357031	200.869	45.45691	-54.72856
6.4	 55	121	3	134	46	68	168	17542	242.5006	60381.269357031	205.333	45.46437	-54.72852
6.5	 56	121	3	134	46	68	171	17542	242.5006	60381.269357031	205.333	45.45691	-54.72856
6.0	 56	121	5	136	46	68	159	17544	242.5283	60381.269357351	205.333	45.45691	-54.72856
6.0	 56	121	3	135	47	68	159	17543	242.5144	60381.269357191	209.796	45.45691	-54.72856
6.2	 93	 47	1	161	91	68	163	17569	242.8739	60381.269361351	406.201	45.18393	-55.04723
6.3	 93	 48	1	161	91	68	166	17569	242.8739	60381.269361351	406.201	45.18388	-55.04295
6.2	122	151	3	158	102	68	162	17566	242.8324	60381.269360871	455.303	44.96516	-54.60120
6.0	212	 29	0	9	94	69	159	17673	244.3116	60381.269377991	419.593	44.29116	-55.12252
6.3	236	 54	1	20	120	69	165	17684	244.4636	60381.269379751	535.650	44.11303	-55.01403
6.2	107	 82	3	188	139	69	162	17852	246.7860	60381.269406631	620.461	45.07778	-54.89743
6.1	107	 81	3	190	143	69	161	17854	246.8137	60381.269406951	638.316	45.07781	-54.90173
6.0	233	 13	4	57	152	69	159	17721	244.9751	60381.269385671	678.490	44.13280	-55.18978
6.0	235	103	3	130	81	70	158	18050	249.5232	60381.269438311	361.564	44.12414	-54.80394
6.1	178	 42	0	142	95	70	160	18062	249.6891	60381.269440231	424.056	44.54642	-55.06826
6.3	114	 65	0	81	101	70	166	18001	248.8458	60381.269430471	450.839	45.02583	-54.97041
6.6	204	 96	3	180	145	70	175	18100	250.2144	60381.269446311	647.244	44.35427	-54.83573
6.1	 86	212	3	65	160	70	160	17985	248.6246	60381.269427911	714.200	45.23106	-54.33804
6.3	 48	 66	2	84	111	71	165	18260	252.4262	60381.269471911	495.476	45.52045	-54.96420
6.5	 48	 66	3	85	112	71	170	18261	252.4401	60381.269472071	499.940	45.52045	-54.96420
6.1	217	160	3	38	135	71	160	18214	251.7903	60381.269464551	602.606	44.26199	-54.56008
6.0	  5	250	4	103	151	71	158	18279	252.6889	60381.269474951	674.026	45.82661	-54.17001
6.3	  5	250	3	102	152	71	165	18278	252.6751	60381.269474791	678.490	45.82661	-54.17001
6.2	  5	250	3	102	153	71	162	18278	252.6751	60381.269474791	682.954	45.82661	-54.17001
6.2	171	 26	2	93	41	73	162	18781	259.6285	60381.269555271	183.014	44.59864	-55.13697
6.1	 61	184	0	3	130	73	160	18691	258.3844	60381.269540871	580.288	45.41665	-54.45783
6.1	197	 85	6	0	38	74	160	18944	261.8819	60381.269581351	169.623	44.40587	-54.88324
6.2	 47	 89	1	255	45	74	162	19199	265.4070	60381.269622151	200.869	45.52623	-54.86551
6.0	127	 28	0	53	65	74	158	18997	262.6145	60381.269589831	290.144	44.92916	-55.12898
6.4	 56	212	0	32	93	74	169	18976	262.3242	60381.269586471	415.129	45.45252	-54.33698
6.0	 13	  9	0	153	106	74	158	19097	263.9969	60381.269605831	473.158	45.78948	-55.20616
6.0	199	 39	3	77	124	74	158	19021	262.9463	60381.269593671	553.505	44.38899	-55.08033
6.0	137	 63	0	106	134	74	158	19050	263.3472	60381.269598311	598.143	44.85366	-54.97902
6.1	 48	 23	0	237	147	74	161	19181	265.1581	60381.269619271	656.172	45.52398	-55.14839
6.2	 78	244	1	38	153	74	164	18982	262.4072	60381.269587431	682.954	45.28953	-54.19979
6.0	141	148	0	88	45	75	158	19288	266.6373	60381.269636391	200.869	44.82419	-54.61406
6.0	 37	 10	1	232	149	75	158	19432	268.6280	60381.269659431	665.099	45.60815	-55.20343
6.0	105	160	1	97	154	75	158	19297	266.7617	60381.269637831	687.418	45.09120	-54.56234
6.4	230	198	1	75	58	76	168	19531	269.9966	60381.269675271	258.898	44.16933	-54.39574
6.3	230	198	1	76	59	76	166	19532	270.0104	60381.269675431	263.361	44.16933	-54.39574
6.0	206	248	1	48	87	76	158	19504	269.6233	60381.269670951	388.346	44.35000	-54.18145
6.0	206	248	2	49	89	76	158	19505	269.6371	60381.269671111	397.274	44.35000	-54.18145
6.0	253	248	3	60	48	78	158	20028	276.8671	60381.269754791	214.260	44.00593	-54.17856
6.1	 70	247	1	17	83	79	160	20241	279.8116	60381.269788871	370.491	45.34832	-54.18658
6.2	244	166	0	74	98	80	164	20554	284.1385	60381.269838951	437.448	44.06309	-54.53257
6.1	144	 73	3	143	49	81	161	20879	288.6313	60381.269890951	218.724	44.80127	-54.93609
6.0	117	106	7	205	64	81	158	20941	289.4884	60381.269900871	285.680	45.00264	-54.79454
6.0	117	106	7	206	66	81	159	20942	289.5022	60381.269901031	294.608	45.00264	-54.79454
6.3	117	106	6	206	67	81	165	20942	289.5022	60381.269901031	299.071	45.00264	-54.79454
6.0	142	226	6	27	139	81	158	20763	287.0277	60381.269872391	620.461	44.81858	-54.27816
6.2	 24	 90	0	234	154	81	164	20970	289.8893	60381.269905511	687.418	45.69830	-54.85990
6.7	 25	 90	0	234	154	81	176	20970	289.8893	60381.269905511	687.418	45.69081	-54.85997
6.0	235	 17	6	127	155	81	159	20863	288.4101	60381.269888391	691.881	44.11802	-55.17253
6.2	218	 78	1	84	156	81	162	20820	287.8157	60381.269881511	696.345	44.24893	-54.91224
6.0	218	 78	1	84	157	81	159	20820	287.8157	60381.269881511	700.809	44.24893	-54.91224
6.2	218	 78	1	85	158	81	163	20821	287.8295	60381.269881671	705.273	44.24893	-54.91224
6.1	 83	 18	0	154	116	82	160	21146	292.3223	60381.269933671	517.795	45.26063	-55.17115
6.1	 83	 18	0	154	117	82	160	21146	292.3223	60381.269933671	522.259	45.26063	-55.17115
6.1	147	123	3	249	47	83	161	21497	297.1745	60381.269989831	209.796	44.77927	-54.72145
6.3	156	 97	1	154	84	83	165	21402	295.8612	60381.269974631	374.955	44.71188	-54.83297
6.0	110	114	0	144	19	84	159	21648	299.2620	60381.270013991	84.811	45.05469	-54.76012
6.2	187	 40	1	8	4	85	162	21768	300.9208	60381.270033191	17.855	44.47892	-55.07652
6.2	 90	 93	5	53	20	85	162	21813	301.5429	60381.270040391	89.275	45.20448	-54.84993
6.4	135	110	0	120	156	85	169	21880	302.4691	60381.270051111	696.345	44.86848	-54.77739
6.0	 55	203	5	17	110	86	158	22033	304.5842	60381.270075591	491.013	45.46025	-54.37572
6.0	 77	166	6	201	115	86	159	22217	307.1278	60381.270105031	513.331	45.29872	-54.53588
6.1	 35	 20	5	53	86	87	161	22325	308.6208	60381.270122311	383.883	45.62223	-55.16052
6.2	 35	 20	5	54	87	87	164	22326	308.6346	60381.270122471	388.346	45.62223	-55.16052
6.0	 76	172	4	183	91	87	159	22455	310.4179	60381.270143111	406.201	45.30594	-54.51003
6.0	 41	 36	6	223	92	87	158	22495	310.9709	60381.270149511	410.665	45.57553	-55.09237
6.0	 82	 88	0	193	116	87	159	22465	310.5562	60381.270144711	517.795	45.26448	-54.87118
6.0	 83	 88	0	193	116	87	159	22465	310.5562	60381.270144711	517.795	45.25700	-54.87120
6.0	 82	 88	0	193	117	87	159	22465	310.5562	60381.270144711	522.259	45.26448	-54.87118
6.0	 83	 88	0	193	117	87	159	22465	310.5562	60381.270144711	522.259	45.25700	-54.87120
6.0	 93	149	2	201	1	88	159	22729	314.2057	60381.270186951	4.464	45.18044	-54.60944
6.1	 31	112	0	203	99	88	160	22731	314.2333	60381.270187271	441.911	45.64407	-54.76591
6.2	 42	241	3	168	112	88	164	22696	313.7495	60381.270181671	499.940	45.55458	-54.21123
6.2	130	175	0	32	18	89	164	22816	315.4084	60381.270200871	80.348	44.90602	-54.49795
6.1	 98	110	0	7	81	89	160	22791	315.0628	60381.270196871	361.564	45.14422	-54.77712
6.5	 99	110	0	7	81	89	170	22791	315.0628	60381.270196871	361.564	45.13676	-54.77714
6.1	142	115	3	109	104	89	160	22893	316.4728	60381.270213191	464.230	44.81638	-54.75587
6.1	191	190	1	83	128	89	161	22867	316.1134	60381.270209031	571.360	44.45600	-54.43216
6.0	241	205	0	120	45	90	159	23160	320.1638	60381.270255911	200.869	44.08910	-54.36486
6.2	230	150	3	23	134	90	163	23063	318.8229	60381.270240391	598.143	44.16505	-54.60233
6.1	230	150	2	23	135	90	160	23063	318.8229	60381.270240391	602.606	44.16505	-54.60233
6.0	230	150	2	24	136	90	158	23064	318.8367	60381.270240551	607.070	44.16505	-54.60233
6.0	254	141	3	149	140	90	158	23189	320.5647	60381.270260551	624.925	43.98668	-54.63935
6.0	142	 69	0	10	44	91	159	23306	322.1822	60381.270279271	196.405	44.81622	-54.95326
6.2	 26	  4	5	35	55	91	162	23331	322.5277	60381.270283271	245.506	45.69182	-55.22842
6.3	 26	  4	1	35	56	91	165	23331	322.5277	60381.270283271	249.970	45.69182	-55.22842
6.2	192	176	0	177	56	91	162	23473	324.4908	60381.270305991	249.970	44.44777	-54.49240
6.1	 26	  4	5	36	57	91	161	23332	322.5416	60381.270283431	254.434	45.69182	-55.22842
6.1	233	134	3	164	63	91	160	23460	324.3110	60381.270303911	281.216	44.14150	-54.67092
6.0	 72	119	0	2	96	91	158	23298	322.0716	60381.270277991	428.520	45.33773	-54.73778
6.4	211	 25	0	55	109	91	169	23351	322.8042	60381.270286471	486.549	44.29844	-55.13970
6.4	127	  9	0	55	144	91	169	23351	322.8042	60381.270286471	642.780	44.92960	-55.21029
6.0	156	 47	1	181	33	92	158	23733	328.0850	60381.270347591	147.304	44.71135	-55.04737
6.1	 76	 69	0	193	63	92	161	23745	328.2509	60381.270349511	281.216	45.31033	-54.95248
6.2	 97	 27	0	57	125	92	164	23609	326.3708	60381.270327751	557.969	45.15476	-55.13296
6.3	 42	141	0	145	159	92	166	23697	327.5873	60381.270341831	709.736	45.55996	-54.64193
6.0	202	163	0	61	24	93	159	23869	329.9651	60381.270369351	107.130	44.37307	-54.54792
6.0	 63	242	5	23	160	93	158	23831	329.4398	60381.270363271	714.200	45.39993	-54.20789
6.1	 63	242	6	24	160	93	160	23832	329.4536	60381.270363431	714.200	45.39993	-54.20789
6.0	118	 71	6	27	97	95	159	24347	336.5729	60381.270445831	432.984	44.99575	-54.94471
6.2	141	137	3	32	122	96	163	24608	340.1810	60381.270487591	544.578	44.82404	-54.66135
6.2	210	189	6	54	147	96	162	24630	340.4851	60381.270491111	656.172	44.31585	-54.43562
6.2	 40	 34	0	238	155	96	164	24814	343.0287	60381.270520551	691.881	45.58323	-55.10088
6.0	208	 13	3	93	5	97	158	24925	344.5632	60381.270538311	22.319	44.32042	-55.19120
6.0	 28	185	0	127	51	97	159	24959	345.0332	60381.270543751	227.651	45.66105	-54.45182
6.2	181	193	3	31	70	97	163	24863	343.7061	60381.270528391	312.463	44.52991	-54.41959
6.2	181	193	3	32	72	97	163	24864	343.7199	60381.270528551	321.390	44.52991	-54.41959
6.1	181	193	3	33	74	97	161	24865	343.7338	60381.270528711	330.318	44.52991	-54.41959
6.2	181	193	3	34	75	97	163	24866	343.7476	60381.270528871	334.781	44.52991	-54.41959
6.0	 73	  6	3	71	158	97	159	24903	344.2591	60381.270534791	705.273	45.33678	-55.22218
6.2	146	 86	0	126	141	98	162	25214	348.5583	60381.270584551	629.389	44.78636	-54.88031
6.0	225	142	5	238	152	98	158	25326	350.1066	60381.270602471	678.490	44.20139	-54.63703
6.2	170	 69	6	172	65	99	162	25516	352.7332	60381.270632871	290.144	44.60686	-54.95278
6.1	 86	 43	1	217	126	99	160	25561	353.3553	60381.270640071	562.433	45.23666	-55.06419
6.0	109	 38	3	29	65	100	158	25629	354.2953	60381.270650951	290.144	45.06411	-55.08604
6.1	168	215	1	52	87	100	160	25652	354.6133	60381.270654631	388.346	44.62681	-54.32516
6.2	183	246	0	4	111	101	164	25860	357.4886	60381.270687911	495.476	44.51839	-54.19101
6.2	255	117	5	63	29	102	163	26175	361.8432	60381.270738311	129.449	43.97687	-54.74239
6.1	255	117	6	64	29	102	160	26176	361.8570	60381.270738471	129.449	43.97687	-54.74239
6.0	248	128	1	84	111	102	159	26196	362.1335	60381.270741671	495.476	44.02982	-54.69567
6.0	125	146	1	40	133	102	158	26152	361.5252	60381.270734631	593.679	44.94289	-54.62271
6.1	 83	 42	3	178	152	103	161	26546	366.9719	60381.270797671	678.490	45.25925	-55.06839
6.3	 15	 49	3	74	142	104	165	26698	369.0732	60381.270821991	633.853	45.76986	-55.03507
6.0	 15	 49	2	74	143	104	158	26698	369.0732	60381.270821991	638.316	45.76986	-55.03507
6.4	 18	 38	3	179	40	105	169	27059	374.0636	60381.270879751	178.550	45.74846	-55.08239
6.1	 19	 38	3	179	40	105	160	27059	374.0636	60381.270879751	178.550	45.74093	-55.08246
6.3	 17	134	3	25	43	105	165	26905	371.9347	60381.270855111	191.941	45.74667	-54.67050
6.3	 18	134	3	25	43	105	165	26905	371.9347	60381.270855111	191.941	45.73922	-54.67057
