,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
447,7.1,10,25,1,114,77,33,221,8562,118.3611,60424.609243751,296.241,193.36877,-64.38684,8522.789024353027,457,-1,1.0,0.0,0.0,0.548,0.0,5,10.4,25.0,1,,,,,,,J1243-6423,12.014050595275751
448,8.0,10,25,0,226,77,33,249,8674,119.9094,60424.609261671,296.241,193.36877,-64.38684,8634.789024353027,458,-1,1.0,0.0,0.0,0.548,0.516,6,10.5,25.33,1,,,,,,,J1243-6423,12.014050595275751
452,6.4,1,11,0,18,233,33,200,8466,117.034,60424.609228391,896.418,193.4611,-64.44561,8347.34854888916,462,-1,1.0,0.0,0.0,0.0,0.0,3,1.0,11.0,1,,,,,,,,
457,14.6,10,25,1,167,77,34,457,8871,122.6327,60424.609293191,296.241,193.36876,-64.38684,8831.789024353027,467,-1,1.0,0.0,0.0,0.923,0.497,83,10.31,25.42,1,,,,,,,J1243-6423,12.005000522071935
458,20.1,10,25,0,82,77,34,630,8786,121.4577,60424.609279591,296.241,193.36876,-64.38684,8746.789024353027,468,-1,1.0,0.0,0.0,0.857,0.483,83,10.42,25.64,1,,,,,,,J1243-6423,12.005000522071935
459,14.2,10,25,0,26,77,34,445,8730,120.6835,60424.609270631,296.241,193.36876,-64.38684,8690.789024353027,470,-1,1.0,0.0,0.0,0.871,0.476,51,10.37,25.67,1,,,,,,,J1243-6423,12.005000522071935
460,15.1,10,25,1,223,77,34,473,8927,123.4068,60424.609302151,296.241,193.36876,-64.38684,8887.789024353027,471,-1,1.0,0.0,0.0,0.894,0.503,68,10.35,25.51,1,,,,,,,J1243-6423,12.005000522071935
461,11.5,10,25,0,110,77,34,361,8814,121.8447,60424.609284071,296.241,193.36876,-64.38684,8774.789024353027,472,-1,1.0,0.0,0.0,0.786,0.462,34,10.44,25.29,1,,,,,,,J1243-6423,12.005000522071935
462,10.5,10,26,1,139,77,34,330,8843,122.2456,60424.609288711,296.241,193.36856,-64.38257,8803.789024353027,473,-1,1.0,0.0,0.0,0.616,0.485,18,10.44,25.67,1,,,,,,,J1243-6423,26.928460612272346
463,8.0,10,25,1,195,77,34,250,8899,123.0198,60424.609297671,296.241,193.36876,-64.38684,8859.789024353027,474,-1,1.0,0.0,0.0,0.548,0.408,6,10.5,25.17,1,,,,,,,J1243-6423,12.005000522071935
468,6.3,188,97,3,19,253,34,196,8723,120.5868,60424.609269511,973.363,191.60545,-64.08336,8594.163970947266,479,-1,1.0,0.0,0.0,0.408,0.408,6,187.83,96.83,1,,,,,,,,
472,19.6,10,25,0,23,77,35,613,8983,124.181,60424.609311111,296.241,193.36876,-64.38684,8943.789024353027,484,-1,1.0,0.0,0.0,0.943,0.45,115,10.61,25.28,1,,,,,,,J1243-6423,12.005000522071935
473,17.5,10,25,0,51,77,35,548,9011,124.5681,60424.609315591,296.241,193.36876,-64.38684,8971.789024353027,485,-1,1.0,0.0,0.0,0.851,0.427,85,10.33,25.24,1,,,,,,,J1243-6423,12.005000522071935
474,18.5,10,25,0,79,77,35,578,9039,124.9551,60424.609320071,296.241,193.36876,-64.38684,8999.789024353027,486,-1,1.0,0.0,0.0,0.936,0.489,96,10.41,25.39,1,,,,,,,J1243-6423,12.005000522071935
475,12.0,10,25,1,136,77,35,376,9096,125.7431,60424.609329191,296.241,193.36876,-64.38684,9056.789024353027,487,-1,1.0,0.0,0.0,0.834,0.245,48,10.33,25.06,1,,,,,,,J1243-6423,12.005000522071935
478,10.4,10,26,1,161,78,36,325,9377,129.6277,60424.609374151,300.088,193.36856,-64.38257,9337.279830932617,490,-1,1.0,0.0,0.0,0.585,0.315,46,10.54,25.89,1,,,,,,,J1243-6423,26.928460612272346
479,12.0,10,25,1,189,77,36,377,9405,130.0147,60424.609378631,296.241,193.36876,-64.38684,9365.789024353027,491,-1,1.0,0.0,0.0,0.762,0.497,62,10.47,25.58,1,,,,,,,J1243-6423,12.005000522071935
480,12.5,11,26,0,76,77,36,391,9292,128.4526,60424.609360551,296.241,193.35863,-64.38268,9252.789024353027,492,-1,1.0,0.0,0.0,0.794,0.452,33,10.45,25.73,1,,,,,,,J1243-6423,28.1454743289794
481,11.3,10,26,0,48,77,36,353,9264,128.0655,60424.609356071,296.241,193.36856,-64.38257,9224.789024353027,493,-1,1.0,0.0,0.0,0.752,0.272,26,10.62,25.92,1,,,,,,,J1243-6423,26.928460612272346
482,14.7,11,26,1,242,78,37,460,9714,134.2863,60424.609428071,300.088,193.35863,-64.38268,9674.279830932617,494,-1,1.0,0.0,0.0,0.819,0.281,105,10.57,25.91,1,,,,,,,J1243-6423,28.1454743289794
483,6.9,10,26,0,213,75,37,217,9685,133.8854,60424.609423431,288.546,193.36856,-64.38257,9646.807552337646,495,-1,1.0,0.0,0.0,0.514,0.0,18,10.5,26.0,1,,,,,,,J1243-6423,26.928460612272346
484,7.4,11,26,0,45,77,37,233,9517,131.563,60424.609396551,296.241,193.35863,-64.38268,9477.789024353027,496,-1,1.0,0.0,0.0,0.548,0.548,6,10.5,25.5,1,,,,,,,J1243-6423,28.1454743289794
485,6.9,10,26,0,158,78,37,217,9630,133.1251,60424.609414631,300.088,193.36856,-64.38257,9590.279830932617,497,-1,1.0,0.0,0.0,0.535,0.378,7,10.57,25.86,1,,,,,,,J1243-6423,26.928460612272346
486,15.3,10,26,0,98,78,38,478,9826,135.8346,60424.609445991,300.088,193.36856,-64.38257,9786.279830932617,498,-1,1.0,0.0,0.0,0.859,0.466,77,10.3,25.69,1,,,,,,,J1243-6423,26.928460612272346
487,9.6,10,26,1,239,77,38,300,9967,137.7838,60424.609468551,296.241,193.36856,-64.38257,9927.789024353027,499,-1,1.0,0.0,0.0,0.568,0.301,31,10.55,25.9,1,,,,,,,J1243-6423,26.928460612272346
488,8.1,11,26,1,211,78,38,253,9939,137.3967,60424.609464071,300.088,193.35863,-64.38268,9899.279830932617,500,-1,1.0,0.0,0.0,0.516,0.447,16,10.5,25.75,1,,,,,,,J1243-6423,28.1454743289794
489,7.9,10,25,0,14,77,38,248,9742,134.6734,60424.609432551,296.241,193.36876,-64.38684,9702.789024353027,501,-1,1.0,0.0,0.0,0.519,0.277,13,10.54,25.08,1,,,,,,,J1243-6423,12.005000522071935
490,8.4,11,26,0,126,77,38,262,9854,136.2217,60424.609450471,296.241,193.35863,-64.38268,9814.789024353027,502,-1,1.0,0.0,0.0,0.527,0.0,10,10.5,26.0,1,,,,,,,J1243-6423,28.1454743289794
491,7.9,10,25,0,67,78,39,246,10051,138.945,60424.609481991,300.088,193.36876,-64.38684,10011.279830932617,503,-1,1.0,0.0,0.0,0.522,0.302,11,10.45,25.91,1,,,,,,,J1243-6423,12.005000522071935
492,8.6,10,25,0,179,77,39,270,10163,140.4933,60424.609499911,296.241,193.36876,-64.38684,10123.789024353027,504,-1,1.0,0.0,0.0,0.516,0.414,15,10.47,25.2,1,,,,,,,J1243-6423,12.005000522071935
493,6.4,11,26,0,94,76,39,201,10078,139.3183,60424.609486311,292.394,193.35863,-64.38268,10039.298217773438,505,-1,1.0,0.0,0.0,0.577,0.577,4,10.5,25.5,1,,,,,,,J1243-6423,28.1454743289794
495,11.6,10,25,0,232,77,40,364,10472,144.7649,60424.609549351,296.241,193.36876,-64.38684,10432.789024353027,507,-1,1.0,0.0,0.0,0.629,0.368,26,10.35,25.15,1,,,,,,,J1243-6423,12.005000522071935
496,8.0,10,25,0,36,78,40,252,10276,142.0554,60424.609517991,300.088,193.36876,-64.38684,10236.279830932617,508,-1,1.0,0.0,0.0,0.514,0.47,17,10.53,25.29,1,,,,,,,J1243-6423,12.005000522071935
497,9.2,10,26,0,120,77,40,289,10360,143.2166,60424.609531431,296.241,193.36856,-64.38257,10320.789024353027,509,-1,1.0,0.0,0.0,0.514,0.393,17,10.47,25.82,1,,,,,,,J1243-6423,26.928460612272346
498,7.5,11,26,1,8,78,40,235,10248,141.6684,60424.609513511,300.088,193.35863,-64.38268,10208.279830932617,510,-1,1.0,0.0,0.0,0.516,0.516,6,10.67,25.67,1,,,,,,,J1243-6423,28.1454743289794
499,8.1,10,25,1,148,77,40,255,10388,143.6037,60424.609535911,296.241,193.36876,-64.38684,10348.789024353027,511,-1,1.0,0.0,0.0,0.535,0.488,7,10.57,25.71,1,,,,,,,J1243-6423,12.005000522071935
500,7.2,11,26,0,92,78,40,227,10332,142.8296,60424.609526951,300.088,193.35863,-64.38268,10292.279830932617,512,-1,1.0,0.0,0.0,0.577,0.577,3,10.67,25.67,1,,,,,,,J1243-6423,28.1454743289794
502,6.3,217,41,5,232,44,41,197,10728,148.3039,60424.609590311,169.281,191.31302,-64.32122,10705.593671798706,514,-1,1.0,0.0,0.0,0.0,0.0,4,217.0,41.0,1,,,,,,,,
504,13.7,10,25,1,117,77,41,429,10613,146.7141,60424.609571911,296.241,193.36876,-64.38684,10573.789024353027,516,-1,1.0,0.0,0.0,0.829,0.485,74,10.43,25.64,1,,,,,,,J1243-6423,12.005000522071935
505,14.7,10,25,1,33,77,41,461,10529,145.5529,60424.609558471,296.241,193.36876,-64.38684,10489.789024353027,517,-1,1.0,0.0,0.0,0.899,0.52,80,10.55,25.41,1,,,,,,,J1243-6423,12.005000522071935
506,11.8,11,26,0,201,77,41,368,10697,147.8753,60424.609585351,296.241,193.35863,-64.38268,10657.789024353027,518,-1,1.0,0.0,0.0,0.843,0.232,36,10.44,25.94,1,,,,,,,J1243-6423,28.1454743289794
507,10.2,10,26,1,5,78,41,320,10501,145.1658,60424.609553991,300.088,193.36856,-64.38257,10461.279830932617,519,-1,1.0,0.0,0.0,0.599,0.232,36,10.39,25.94,1,,,,,,,J1243-6423,26.928460612272346
508,12.0,10,26,1,61,77,41,377,10557,145.94,60424.609562951,296.241,193.36856,-64.38257,10517.789024353027,520,-1,1.0,0.0,0.0,0.725,0.0,43,10.37,26.0,1,,,,,,,J1243-6423,26.928460612272346
509,10.2,10,26,0,229,77,41,319,10725,148.2624,60424.609589831,296.241,193.36856,-64.38257,10685.789024353027,521,-1,1.0,0.0,0.0,0.577,0.467,36,10.31,25.31,1,,,,,,,J1243-6423,26.928460612272346
510,11.3,10,25,0,173,77,41,355,10669,147.4883,60424.609580871,296.241,193.36876,-64.38684,10629.789024353027,522,-1,1.0,0.0,0.0,0.723,0.408,25,10.24,25.2,1,,,,,,,J1243-6423,12.005000522071935
511,7.6,10,25,0,89,77,41,238,10585,146.327,60424.609567431,296.241,193.36876,-64.38684,10545.789024353027,523,-1,1.0,0.0,0.0,0.518,0.518,8,10.38,25.38,1,,,,,,,J1243-6423,12.005000522071935
515,16.1,10,25,0,198,77,42,504,10950,151.3728,60424.609625831,296.241,193.36876,-64.38684,10910.789024353027,527,-1,1.0,0.0,0.0,0.885,0.484,69,10.49,25.36,1,,,,,,,J1243-6423,12.005000522071935
516,13.5,10,25,0,142,78,42,422,10894,150.5987,60424.609616871,300.088,193.36876,-64.38684,10854.279830932617,528,-1,1.0,0.0,0.0,0.824,0.492,54,10.33,25.61,1,,,,,,,J1243-6423,12.005000522071935
517,15.1,10,25,1,255,77,42,473,11007,152.1608,60424.609634951,296.241,193.36876,-64.38684,10967.789024353027,529,-1,1.0,0.0,0.0,0.963,0.375,78,10.46,25.17,1,,,,,,,J1243-6423,12.005000522071935
518,13.3,10,25,1,86,77,42,417,10838,149.8245,60424.609607911,296.241,193.36876,-64.38684,10798.789024353027,530,-1,1.0,0.0,0.0,0.968,0.452,68,10.56,25.28,1,,,,,,,J1243-6423,12.005000522071935
519,12.4,10,25,0,226,77,42,389,10978,151.7599,60424.609630311,296.241,193.36876,-64.38684,10938.789024353027,531,-1,1.0,0.0,0.0,0.718,0.502,35,10.31,25.57,1,,,,,,,J1243-6423,12.005000522071935
520,8.6,10,25,1,2,77,42,269,10754,148.6633,60424.609594471,296.241,193.36876,-64.38684,10714.789024353027,532,-1,1.0,0.0,0.0,0.522,0.515,12,10.5,25.58,1,,,,,,,J1243-6423,12.005000522071935
523,6.4,226,203,3,132,255,42,200,10884,150.4604,60424.609615271,981.058,191.24767,-63.62465,10754.145462036133,535,-1,1.0,0.0,0.0,0.0,0.0,3,226.0,203.0,1,,,,,,,,
524,17.9,10,25,0,223,77,43,560,11231,155.2573,60424.609670791,296.241,193.36876,-64.38684,11191.789024353027,537,-1,1.0,0.0,0.0,0.871,0.0,92,10.29,25.0,1,,,,,,,J1243-6423,12.005000522071935
525,12.4,11,26,1,27,77,43,389,11035,152.5478,60424.609639431,296.241,193.35863,-64.38268,10995.789024353027,538,-1,1.0,0.0,0.0,0.95,0.499,32,10.5,25.59,1,,,,,,,J1243-6423,28.1454743289794
526,10.1,10,26,1,167,77,43,317,11175,154.4832,60424.609661831,296.241,193.36856,-64.38257,11135.789024353027,539,-1,1.0,0.0,0.0,0.762,0.508,31,10.23,25.52,1,,,,,,,J1243-6423,26.928460612272346
527,9.8,10,25,1,83,77,43,306,11091,153.322,60424.609648391,296.241,193.36876,-64.38684,11051.789024353027,540,-1,1.0,0.0,0.0,0.619,0.403,16,10.62,25.19,1,,,,,,,J1243-6423,12.005000522071935
528,8.5,10,25,1,55,77,43,265,11063,152.9349,60424.609643911,296.241,193.36876,-64.38684,11023.789024353027,541,-1,1.0,0.0,0.0,0.718,0.522,12,10.17,25.5,1,,,,,,,J1243-6423,12.005000522071935
529,6.9,10,26,0,139,78,43,216,11147,154.0961,60424.609657351,300.088,193.36856,-64.38257,11107.279830932617,542,-1,1.0,0.0,0.0,0.5,0.577,4,10.25,25.5,1,,,,,,,J1243-6423,26.928460612272346
530,7.4,11,26,0,111,77,43,233,11119,153.7091,60424.609652871,296.241,193.35863,-64.38268,11079.789024353027,543,-1,1.0,0.0,0.0,0.463,0.0,8,10.75,26.0,1,,,,,,,J1243-6423,28.1454743289794
540,14.1,10,25,1,80,77,44,440,11344,156.8195,60424.609688871,296.241,193.36876,-64.38684,11304.789024353027,554,-1,1.0,0.0,0.0,0.908,0.482,92,10.52,25.36,1,,,,,,,J1243-6423,12.005000522071935
541,15.7,10,25,1,52,77,44,492,11316,156.4324,60424.609684391,296.241,193.36876,-64.38684,11276.789024353027,555,-1,1.0,0.0,0.0,0.825,0.498,75,10.57,25.43,1,,,,,,,J1243-6423,12.005000522071935
550,6.6,149,252,5,119,257,44,208,11383,157.3586,60424.609695111,988.753,191.99394,-63.417,11252.126922607422,565,-1,1.0,0.0,0.0,0.0,0.0,5,149.0,252.0,1,,,,,,,,
554,12.5,10,25,0,217,77,45,391,11737,162.2523,60424.609751751,296.241,193.36876,-64.38684,11697.789024353027,569,-1,1.0,0.0,0.0,0.702,0.305,30,10.3,25.1,1,,,,,,,J1243-6423,12.005000522071935
555,8.6,10,25,1,49,77,45,268,11569,159.9299,60424.609724871,296.241,193.36876,-64.38684,11529.789024353027,570,-1,1.0,0.0,0.0,0.518,0.354,8,10.38,25.12,1,,,,,,,J1243-6423,12.005000522071935
556,6.6,10,25,0,104,75,45,206,11624,160.6902,60424.609733671,288.546,193.36876,-64.38684,11585.807552337646,571,-1,1.0,0.0,0.0,0.0,0.0,4,10.0,25.0,1,,,,,,,J1243-6423,12.005000522071935
558,6.7,10,25,1,190,79,45,210,11710,161.879,60424.609747431,303.936,193.36876,-64.38684,11669.770503997803,573,-1,1.0,0.0,0.0,0.548,0.0,5,10.4,25.0,1,,,,,,,J1243-6423,12.005000522071935
561,6.9,91,204,6,107,257,45,215,11627,160.7316,60424.609734151,988.753,192.55325,-63.62402,11496.126922607422,576,-1,1.0,0.0,0.0,0.0,0.0,5,91.0,204.0,1,,,,,,,,
562,6.2,64,83,3,64,8,46,194,11840,163.6762,60424.609768231,30.778,192.82594,-64.14318,11835.926170349121,577,-1,1.0,0.0,0.0,0.0,0.0,3,64.0,83.0,1,,,,,,,,
564,16.5,10,25,1,102,77,46,516,11878,164.2015,60424.609774311,296.241,193.36871,-64.38684,11838.789024353027,579,-1,1.0,0.0,0.0,0.884,0.377,83,10.11,25.17,1,,,,,,,J1243-6423,11.97809171151335
565,15.4,10,25,0,73,77,46,483,11849,163.8006,60424.609769671,296.241,193.36871,-64.38684,11809.789024353027,580,-1,1.0,0.0,0.0,0.825,0.489,56,10.29,25.62,1,,,,,,,J1243-6423,11.97809171151335
566,12.1,10,25,1,158,77,46,380,11934,164.9756,60424.609783271,296.241,193.36871,-64.38684,11894.789024353027,581,-1,1.0,0.0,0.0,0.715,0.167,36,10.06,25.03,1,,,,,,,J1243-6423,11.97809171151335
567,11.7,10,25,0,186,78,46,367,11962,165.3627,60424.609787751,300.088,193.36871,-64.38684,11922.279830932617,582,-1,1.0,0.0,0.0,0.756,0.315,28,10.14,25.11,1,,,,,,,J1243-6423,11.97809171151335
568,12.1,10,25,0,214,78,46,380,11990,165.7498,60424.609792231,300.088,193.36871,-64.38684,11950.279830932617,583,-1,1.0,0.0,0.0,0.824,0.277,37,10.35,25.08,1,,,,,,,J1243-6423,11.97809171151335
569,8.6,10,25,0,242,77,46,270,12018,166.1368,60424.609796711,296.241,193.36871,-64.38684,11978.789024353027,584,-1,1.0,0.0,0.0,0.548,0.0,6,10.5,25.0,1,,,,,,,J1243-6423,11.97809171151335
576,6.8,155,108,4,210,254,46,212,11986,165.6945,60424.609791591,977.211,191.93027,-64.03748,11856.654647827148,591,-1,1.0,0.0,0.0,0.463,0.354,8,154.75,107.88,1,,,,,,,,
577,17.7,11,25,1,211,77,47,553,12243,169.2472,60424.609832711,296.241,193.35878,-64.38695,12203.789024353027,592,-1,1.0,0.0,0.0,0.936,0.376,101,10.38,25.17,1,,,,,,,J1243-6423,15.343863491506106
578,14.4,10,26,0,14,77,47,451,12046,166.5239,60424.609801191,296.241,193.36855,-64.38257,12006.789024353027,593,-1,1.0,0.0,0.0,0.883,0.447,63,10.21,25.73,1,,,,,,,J1243-6423,26.924173578601966
579,14.7,10,25,1,183,77,47,459,12215,168.8602,60424.609828231,296.241,193.36871,-64.38684,12175.789024353027,594,-1,1.0,0.0,0.0,0.827,0.503,65,10.06,25.48,1,,,,,,,J1243-6423,11.97809171151335
580,14.1,10,25,0,239,78,47,442,12271,169.6343,60424.609837191,300.088,193.36871,-64.38684,12231.279830932617,595,-1,1.0,0.0,0.0,0.802,0.137,53,10.17,25.02,1,,,,,,,J1243-6423,11.97809171151335
581,13.1,10,25,0,98,77,47,410,12130,167.6851,60424.609814631,296.241,193.36871,-64.38684,12090.789024353027,596,-1,1.0,0.0,0.0,0.804,0.505,42,10.48,25.52,1,,,,,,,J1243-6423,11.97809171151335
582,8.7,10,25,1,42,76,47,272,12074,166.911,60424.609805671,292.394,193.36871,-64.38684,12035.298217773438,597,-1,1.0,0.0,0.0,0.516,0.422,10,10.4,25.2,1,,,,,,,J1243-6423,11.97809171151335
583,7.3,10,26,1,127,77,47,228,12159,168.086,60424.609819271,296.241,193.36855,-64.38257,12119.789024353027,598,-1,1.0,0.0,0.0,0.5,0.441,9,9.67,25.78,1,,,,,,,J1243-6423,26.924173578601966
584,10.3,10,25,0,70,77,47,322,12102,167.298,60424.609810151,296.241,193.36871,-64.38684,12062.789024353027,599,-1,1.0,0.0,0.0,0.678,0.0,25,10.28,25.0,1,,,,,,,J1243-6423,11.97809171151335
585,10.1,10,26,1,155,77,47,317,12187,168.4731,60424.609823751,296.241,193.36855,-64.38257,12147.789024353027,600,-1,1.0,0.0,0.0,0.598,0.0,21,10.43,26.0,1,,,,,,,J1243-6423,26.924173578601966
591,17.1,10,25,0,11,77,48,535,12299,170.0214,60424.609841671,296.241,193.36871,-64.38684,12259.789024353027,606,-1,1.0,0.0,0.0,0.921,0.373,121,10.31,25.17,1,,,,,,,J1243-6423,11.97809171151335
592,16.6,11,26,1,152,77,48,521,12440,171.9706,60424.609864231,296.241,193.3586,-64.38268,12400.789024353027,607,-1,1.0,0.0,0.0,0.871,0.087,133,10.59,25.99,1,,,,,,,J1243-6423,28.1634006422182
593,13.7,10,26,0,39,77,48,430,12327,170.4084,60424.609846151,296.241,193.36855,-64.38257,12287.789024353027,608,-1,1.0,0.0,0.0,0.698,0.362,40,10.22,25.85,1,,,,,,,J1243-6423,26.924173578601966
594,13.3,10,25,0,236,78,48,415,12524,173.1318,60424.609877671,300.088,193.36871,-64.38684,12484.279830932617,609,-1,1.0,0.0,0.0,0.812,0.471,50,10.56,25.68,1,,,,,,,J1243-6423,11.97809171151335
595,12.1,11,26,0,95,77,48,380,12383,171.1826,60424.609855111,296.241,193.3586,-64.38268,12343.789024353027,610,-1,1.0,0.0,0.0,0.845,0.467,36,10.5,25.69,1,,,,,,,J1243-6423,28.1634006422182
596,10.4,11,26,0,180,78,48,327,12468,172.3576,60424.609868711,300.088,193.3586,-64.38268,12428.279830932617,611,-1,1.0,0.0,0.0,0.707,0.383,18,10.5,25.83,1,,,,,,,J1243-6423,28.1634006422182
597,9.4,11,26,0,67,77,48,293,12355,170.7955,60424.609850631,296.241,193.3586,-64.38268,12315.789024353027,612,-1,1.0,0.0,0.0,0.789,0.0,10,10.8,26.0,1,,,,,,,J1243-6423,28.1634006422182
598,6.7,10,26,1,124,77,48,210,12412,171.5835,60424.609859751,296.241,193.36855,-64.38257,12372.789024353027,613,-1,1.0,0.0,0.0,0.516,0.0,6,10.33,26.0,1,,,,,,,J1243-6423,26.924173578601966
604,6.5,131,248,5,156,255,48,202,12444,172.0259,60424.609864871,981.058,192.16672,-63.43451,12314.145462036133,619,-1,1.0,0.0,0.0,0.0,0.0,4,131.0,248.0,1,,,,,,,,
605,12.3,11,26,0,64,77,49,386,12608,174.293,60424.609891111,296.241,193.3586,-64.38268,12568.789024353027,620,-1,1.0,0.0,0.0,0.789,0.284,35,10.71,25.91,1,,,,,,,J1243-6423,28.1634006422182
606,10.9,10,26,1,121,78,49,341,12665,175.081,60424.609900231,300.088,193.36855,-64.38257,12625.279830932617,621,-1,1.0,0.0,0.0,0.693,0.301,31,10.29,25.9,1,,,,,,,J1243-6423,26.924173578601966
607,12.6,11,26,0,92,77,49,393,12636,174.6801,60424.609895591,296.241,193.3586,-64.38268,12596.789024353027,622,-1,1.0,0.0,0.0,0.784,0.0,40,10.5,26.0,1,,,,,,,J1243-6423,28.1634006422182
608,10.4,10,26,1,233,77,49,326,12777,176.6292,60424.609918151,296.241,193.36855,-64.38257,12737.789024353027,623,-1,1.0,0.0,0.0,0.658,0.0,21,10.33,26.0,1,,,,,,,J1243-6423,26.924173578601966
609,9.1,10,25,0,8,77,49,284,12552,173.5188,60424.609882151,296.241,193.36871,-64.38684,12512.789024353027,624,-1,1.0,0.0,0.0,0.647,0.505,11,10.27,25.36,1,,,,,,,J1243-6423,11.97809171151335
614,18.9,11,26,1,202,77,50,591,13002,179.7397,60424.609954151,296.241,193.3586,-64.38268,12962.789024353027,629,-1,1.0,0.0,0.0,0.925,0.452,127,10.5,25.28,1,,,,,,,J1243-6423,28.1634006422182
615,15.6,10,26,0,89,77,50,490,12889,178.1775,60424.609936071,296.241,193.36855,-64.38257,12849.789024353027,630,-1,1.0,0.0,0.0,0.794,0.384,90,10.43,25.82,1,,,,,,,J1243-6423,26.924173578601966
616,18.2,10,26,0,33,77,50,569,12833,177.4034,60424.609927111,296.241,193.36855,-64.38257,12793.789024353027,631,-1,1.0,0.0,0.0,0.86,0.0,91,10.45,26.0,1,,,,,,,J1243-6423,26.924173578601966
617,14.9,10,25,0,61,77,50,467,12861,177.7905,60424.609931591,296.241,193.36871,-64.38684,12821.789024353027,632,-1,1.0,0.0,0.0,0.927,0.473,67,10.54,25.33,1,,,,,,,J1243-6423,11.97809171151335
618,16.8,11,26,1,230,77,50,526,13030,180.1267,60424.609958631,296.241,193.3586,-64.38268,12990.789024353027,633,-1,1.0,0.0,0.0,0.982,0.319,88,10.47,25.89,1,,,,,,,J1243-6423,28.1634006422182
619,12.2,10,25,1,118,77,50,381,12918,178.5784,60424.609940711,296.241,193.36871,-64.38684,12878.789024353027,634,-1,1.0,0.0,0.0,0.754,0.504,44,10.11,25.45,1,,,,,,,J1243-6423,11.97809171151335
620,10.1,10,25,0,5,77,50,316,12805,177.0163,60424.609922631,296.241,193.36871,-64.38684,12765.789024353027,635,-1,1.0,0.0,0.0,0.637,0.452,26,10.38,25.73,1,,,,,,,J1243-6423,11.97809171151335
628,6.4,161,69,1,167,254,50,201,12967,179.2558,60424.609948551,977.211,191.8695,-64.20452,12837.654647827148,643,-1,1.0,0.0,0.0,0.0,0.0,3,161.0,69.0,1,,,,,,,,
631,14.6,10,26,0,114,77,51,456,13170,182.0621,60424.609981031,296.241,193.36855,-64.38257,13130.789024353027,647,-1,1.0,0.0,0.0,0.95,0.226,38,10.26,25.95,1,,,,,,,J1243-6423,26.924173578601966
632,12.2,10,26,1,199,77,51,381,13255,183.2371,60424.609994631,296.241,193.36855,-64.38257,13215.789024353027,648,-1,1.0,0.0,0.0,0.789,0.254,59,10.22,25.93,1,,,,,,,J1243-6423,26.924173578601966
633,13.1,10,26,1,227,77,51,411,13283,183.6242,60424.609999111,296.241,193.36855,-64.38257,13243.789024353027,649,-1,1.0,0.0,0.0,0.805,0.323,52,10.31,25.88,1,,,,,,,J1243-6423,26.924173578601966
634,13.3,10,26,0,142,77,51,418,13198,182.4492,60424.609985511,296.241,193.36855,-64.38257,13158.789024353027,650,-1,1.0,0.0,0.0,0.824,0.496,54,10.33,25.59,1,,,,,,,J1243-6423,26.924173578601966
635,12.3,11,26,0,30,77,51,385,13086,180.9009,60424.609967591,296.241,193.3586,-64.38268,13046.789024353027,651,-1,1.0,0.0,0.0,0.688,0.504,36,10.39,25.56,1,,,,,,,J1243-6423,28.1634006422182
636,9.9,11,25,0,86,77,51,310,13142,181.675,60424.609976551,296.241,193.35878,-64.38695,13102.789024353027,652,-1,1.0,0.0,0.0,0.588,0.507,17,10.71,25.59,1,,,,,,,J1243-6423,15.343863491506106
637,7.9,10,26,0,2,78,51,246,13058,180.5138,60424.609963111,300.088,193.36855,-64.38257,13018.279830932617,653,-1,1.0,0.0,0.0,0.535,0.488,7,10.43,25.71,1,,,,,,,J1243-6423,26.924173578601966
642,6.5,44,100,3,120,250,51,202,13176,182.145,60424.609981991,961.822,193.02081,-64.06893,13048.69155883789,658,-1,1.0,0.0,0.0,0.5,0.5,4,44.25,99.25,1,,,,,,,,
647,13.2,10,25,1,196,77,52,414,13508,186.7346,60424.610035111,296.241,193.36871,-64.38684,13468.789024353027,663,-1,1.0,0.0,0.0,0.758,0.503,68,10.31,25.49,1,,,,,,,J1243-6423,11.97809171151335
648,12.9,10,25,1,224,77,52,405,13536,187.1217,60424.610039591,296.241,193.36871,-64.38684,13496.789024353027,664,-1,1.0,0.0,0.0,0.754,0.487,54,9.87,25.37,1,,,,,,,J1243-6423,11.97809171151335
649,12.2,10,26,0,55,78,52,383,13367,184.7854,60424.610012551,300.088,193.36855,-64.38257,13327.279830932617,665,-1,1.0,0.0,0.0,0.782,0.477,42,10.21,25.33,1,,,,,,,J1243-6423,26.924173578601966
650,10.5,10,26,1,27,77,52,328,13339,184.3983,60424.610008071,296.241,193.36855,-64.38257,13299.789024353027,666,-1,1.0,0.0,0.0,0.703,0.0,23,10.3,26.0,1,,,,,,,J1243-6423,26.924173578601966
651,11.0,10,25,1,252,77,52,344,13564,187.5087,60424.610044071,296.241,193.36871,-64.38684,13524.789024353027,667,-1,1.0,0.0,0.0,0.723,0.435,33,10.09,25.76,1,,,,,,,J1243-6423,11.97809171151335
